# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
Woolen Gloves,Equipment,Вязаные шерстяные перчатки. Массовое производство.,5,0.5
Woolen Long Johns,Resources,Тёплое бельё для работы на открытых палубах зимой.,10,0.5
Woolen Stockings,Resources,До колена. Носятся с подвязками.,10,0.5
Work Record Book,Equipment,Учёт трудового стажа в Гильдиях.,5,0.5
Woven Basket,Food,Ивовая. Для продуктов.,10,0.3
Woven Sandals,Equipment,Лёгкая обувь из кожаных лент. Для отдыха в хостеле.,5,0.5
Writing Paper,Tech,Лист А4. 70 г/м². Пачка 100 листов.,5,0.5
Антиграв-клинок,Equipment,"Антиграв-импульсный клинок. critMod+10, частично игнорирует armor.",1,0.1
Говно,Resources,,1,0.1
Деревянный меч,Equipment,"Базовый тренировочный меч. Лёгкий, надёжный.",1,0.1
Дорожные сапоги,Equipment,"Лёгкие, удобные. Увеличивают ловкость.",1,0.1
Железное копьё,Equipment,Длинное копьё. Reach +3м позволяет бить издалека.,1,0.1
Железный кинжал,Equipment,"Короткий клинок. Быстрый, но слабый.",1,0.1
Железный слиток,Resources,Слиток железа,10,0.1
Медный слиток,Resources,Слиток меди,10,0.1
Мезий,Meziy,,1,0.1
Рабочая каска,Equipment,"Стандартная защитная каска. Лёгкая, удобная.",1,0.1
Стальной нагрудник,Equipment,"Тяжёлая защита. Замедляет, даёт силу.",1,0.1

# block=tradeItems
tradeItemId,displayName,basePrice,weight,volume,slots,isDangerous,isFragile,isContraband,requiredFaction
antigrav_ingot_v01,Антигравий (слиток),500,5,0.02,1,n,y,n,None
mesium_canister_v01,Мезий (канистра),200,10,0.05,1,y,n,n,None
resource_acoustic_felt_box,Acoustic Felt Box,100,20,0.30,4,n,n,n,None
resource_activated_charcoal_box,Activated Charcoal Box,100,25,0.10,4,n,n,n,None
resource_antigrav_box,Antigrav Box,100,30,0.10,4,n,n,n,None
resource_antigrav_brass_agl_8_box,Antigrav Brass AGL-8 Box,100,30,0.10,4,n,n,n,None
resource_antigrav_bronze_agb_12_box,Antigrav Bronze AGB-12 Box,100,30,0.10,4,n,n,n,None
resource_antigrav_chips_box,Antigrav Chips Box,100,25,0.15,4,n,n,n,None
resource_antigrav_steel_ags_40_box,Antigrav Steel AGS-40 Box,100,35,0.10,4,n,n,n,None
resource_anti_corrosion_enamel_paint_box,Anti-Corrosion Enamel Paint Box,100,25,0.12,4,n,n,n,None
resource_asbestos_sheet_box,Asbestos Sheet Box,100,25,0.25,4,n,n,n,None
resource_aviation_plywood_box,Aviation Plywood Box,100,30,0.30,4,n,n,n,None
resource_balaclava_mask_box,Balaclava Mask Box,100,15,0.30,4,n,n,n,None
resource_beeswax_box,Beeswax Box,100,20,0.12,4,n,n,n,None
resource_black_leaf_tea_primium_box,Black Leaf Tea Primium Box,100,15,0.20,4,n,n,n,None
resource_book_poetry_above_the_clouds_box,Book Poetry Above the Clouds Box,100,25,0.20,4,n,n,n,None
resource_borosilicate_glass_box,Borosilicate Glass Box,100,30,0.25,4,n,n,n,None
resource_brass_sheet_box,Brass Sheet Box,100,30,0.25,4,n,n,n,None
resource_buckwheat_porridge_with_butter_box,Buckwheat Porridge with Butter Box,100,25,0.18,4,n,n,n,None
resource_butter_pancakes_box,Butter Pancakes Box,100,15,0.15,4,n,n,n,None
resource_cafeteria_menu_buffet_no5_box,Cafeteria Menu Buffet No.5 Box,100,15,0.12,4,n,n,n,None
resource_canvas_apron_box,Canvas Apron Box,100,15,0.30,4,n,n,n,None
resource_canvas_tape_measure_20m_box,Canvas Tape Measure 20m Box,100,20,0.15,4,n,n,n,None
resource_canvas_tarpaulin_box,Canvas Tarpaulin Box,100,20,0.40,4,n,n,n,None
resource_cast_iron_bollard_box,Cast Iron Bollard Box,100,50,0.20,4,n,n,n,None
resource_cast_iron_frying_pan_box,Cast Iron Frying Pan Box,100,30,0.20,4,n,n,n,None
resource_cast_iron_iron_box,Cast Iron Iron Box,100,35,0.15,4,n,n,n,None
resource_cast_iron_pot_box,Cast Iron Pot Box,100,30,0.25,4,n,n,n,None
resource_cast_iron_weight_set_box,Cast Iron Weight Set Box,100,40,0.15,4,n,n,n,None
resource_caustic_alkali_box,Caustic Alkali Box,100,25,0.12,4,n,n,n,None
resource_colored_glass_plumb_box,Colored Glass Plumb Box,100,20,0.10,4,n,n,n,None
resource_copper_box,Ящик медной руды,80,40,0.15,4,n,n,n,None
resource_copper_wire_box,Copper Wire Box,100,25,0.15,4,n,n,n,None
resource_corrugated_cardboard_box_box,Corrugated Cardboard Box Box,100,10,0.25,4,n,n,n,None
resource_cover_tarp_box,Cover Tarp Box,100,20,0.45,4,n,n,n,None
resource_dry_white_table_wine_box,Dry White Table Wine Box,100,30,0.25,4,n,n,n,None
resource_duralumin_aluminum_box,Duralumin Aluminum Box,100,25,0.25,4,n,n,n,None
resource_engineers_square_box,Engineer's Square Box,100,20,0.15,4,n,n,n,None
resource_farm_timber_box,Farm Timber Box,100,30,0.10,4,n,n,n,None
resource_filter_grade_silk_box,Filter-Grade Silk Box,100,15,0.30,4,n,n,n,None
resource_fireproof_ceramics_box,Fireproof Ceramics Box,100,30,0.25,4,n,n,n,None
resource_galvanized_sheet_steel_box,Galvanized Sheet Steel Box,100,35,0.25,4,n,n,n,None
resource_glass_vial_50ml_box,Glass Vial 50ml Box,100,10,0.10,4,n,n,n,None
resource_gmag_7_box,GMAG-7 Box,100,80,0.50,4,n,n,n,None
resource_gmag_9_box,GMAG-9 Box,100,120,0.80,4,n,n,n,None
resource_gmag_grease_s_4_box,GMAG Grease S-4 Box,100,20,0.12,4,n,n,n,None
resource_granulated_sugar_box,Granulated Sugar Box,100,25,0.18,4,n,n,n,None
resource_gray_cast_iron_box,Gray Cast Iron Box,100,45,0.20,4,n,n,n,None
resource_guild_cloth_box,Guild Cloth Box,100,20,0.35,4,n,n,n,None
resource_imported_olive_oil_box,Imported Olive Oil Box,100,25,0.25,4,n,n,n,None
resource_industrial_mag_5_box,Industrial MAG-5 Box,100,60,0.45,4,n,n,n,None
resource_iron_box,Ящик железной руды,100,50,0.15,4,n,n,n,None
resource_lightweight_canvas_box,Lightweight Canvas Box,100,15,0.30,4,n,n,n,None
resource_mag_graphite_brushes_box,MAG Graphite Brushes Box,100,10,0.10,4,n,n,n,None
resource_mag_technical_passport_box,MAG Technical Passport Box,100,5,0.05,4,n,n,n,None
resource_mezium_box,Mezium Box,100,30,0.15,4,n,n,n,None
resource_mezium_fuel_m_100_box,Mezium Fuel M-100 Box,100,40,0.20,4,n,n,n,None
resource_mezium_mag_concentrate_box,Mezium MAG Concentrate Box,100,30,0.15,4,n,n,n,None
resource_mezium_neutralizer_n_7_box,Mezium Neutralizer N-7 Box,100,25,0.18,4,n,n,n,None
resource_mezium_oil_box,Mezium Oil Box,100,25,0.18,4,n,n,n,None
resource_mezium_resistant_sealant_hm_200_box,Mezium-Resistant Sealant HM-200 Box,100,20,0.12,4,n,n,n,None
resource_mezium_skin_neutralizer_box,Mezium Skin Neutralizer Box,100,10,0.08,4,n,n,n,None
resource_mountain_wool_box,Mountain Wool Box,100,20,0.35,4,n,n,n,None
resource_multilayer_felt_box,Multilayer Felt Box,100,20,0.30,4,n,n,n,None
resource_oak_veneer_box,Oak Veneer Box,100,25,0.35,4,n,n,n,None
resource_plumb_glass_writer_box,Plumb Glass Writer Box,100,15,0.10,4,n,n,n,None
resource_portable_mag_1_box,Portable MAG-1 Box,100,30,0.30,4,n,n,n,None
resource_poster_caution_mezium_box,Poster Caution - Mezium! Box,100,10,0.20,4,n,n,n,None
resource_pressed_cork_box,Pressed Cork Box,100,20,0.35,4,n,n,n,None
resource_primium_forged_steel_box,Primium Forged Steel Box,100,35,0.20,4,n,n,n,None
resource_purified_antigrav_ag_1_box,Purified Antigrav AG-1 Box,100,25,0.10,4,n,n,n,None
resource_raw_antigrav_box,Raw Antigrav Box,100,35,0.15,4,n,n,n,None
resource_raw_mezium_box,Raw Mezium Box,100,30,0.15,4,n,n,n,None
resource_red_table_wine_box,Red Table Wine Box,100,30,0.25,4,n,n,n,None
resource_refined_mezium_fuel_box,Refined Mezium Fuel Box,100,40,0.20,4,n,n,n,None
resource_rigging_impregnation_pt_1_box,Rigging Impregnation PT-1 Box,100,20,0.15,4,n,n,n,None
resource_rod_antigrav_box,Rod Antigrav Box,100,30,0.20,4,n,n,n,None
resource_round_porthole_glass_box,Round Porthole Glass Box,100,25,0.20,4,n,n,n,None
resource_salted_butter_box,Salted Butter Box,100,20,0.15,4,n,n,n,None
resource_seam_sealant_nm_300_box,Seam Sealant NM-300 Box,100,20,0.10,4,n,n,n,None
resource_sheet_antigrav_box,Sheet Antigrav Box,100,30,0.30,4,n,n,n,None
resource_shellac_varnish_box,Shellac Varnish Box,100,20,0.12,4,n,n,n,None
resource_skol_10_silver_box,Skol 10 (Silver) Box,100,15,0.08,4,n,n,n,None
resource_skol_25_gold_silver_box,Skol 25 (Gold-Silver) Box,100,15,0.08,4,n,n,n,None
resource_skol_5_bronze_box,Skol 5 (Bronze) Box,100,20,0.08,4,n,n,n,None
resource_soapstone_talc_box,Soapstone (Talc) Box,100,30,0.15,4,n,n,n,None
resource_stabilized_mezium_m_1_box,Stabilized Mezium M-1 Box,100,30,0.15,4,n,n,n,None
resource_standard_mag_3_box,Standard MAG-3 Box,100,45,0.35,4,n,n,n,None
resource_steel_cable_6mm_box,Steel Cable 6mm Box,100,35,0.25,4,n,n,n,None
resource_steel_canister_20l_box,Steel Canister 20L Box,100,35,0.30,4,n,n,n,None
resource_steel_climbing_carabiner_box,Steel Climbing Carabiner Box,100,15,0.12,4,n,n,n,None
resource_steel_frame_rib_box,Steel Frame Rib Box,100,40,0.35,4,n,n,n,None
resource_steel_heels_box,Steel Heels Box,100,10,0.08,4,n,n,n,None
resource_steel_helmet_with_clips_box,Steel Helmet with Clips Box,100,25,0.20,4,n,n,n,None
resource_steel_rivets_box,Steel Rivets Box,100,15,0.08,4,n,n,n,None
resource_steel_ruler_500mm_box,Steel Ruler 500mm Box,100,10,0.08,4,n,n,n,None
resource_sulfuric_acid_box,Sulfuric Acid Box,100,30,0.20,4,n,n,n,None
resource_surgical_silk_suture_box,Surgical Silk Suture Box,100,10,0.10,4,n,n,n,None
resource_teak_beam_box,Teak Beam Box,100,30,0.15,4,n,n,n,None
resource_technical_antigrav_ag_2_box,Technical Antigrav AG-2 Box,100,30,0.15,4,n,n,n,None
resource_technical_cardboard_box,Technical Cardboard Box,100,15,0.25,4,n,n,n,None
resource_technical_graphite_box,Technical Graphite Box,100,30,0.15,4,n,n,n,None
resource_technical_paraffin_box,Technical Paraffin Box,100,20,0.18,4,n,n,n,None
resource_technical_pressure_gauge_box,Technical Pressure Gauge Box,100,15,0.10,4,n,n,n,None
resource_technical_rubber_box,Technical Rubber Box,100,25,0.30,4,n,n,n,None
resource_technical_silver_box,Technical Silver Box,100,10,0.08,4,n,n,n,None
resource_technical_tin_box,Technical Tin Box,100,15,0.10,4,n,n,n,None
resource_technical_tweezers_box,Technical Tweezers Box,100,8,0.05,4,n,n,n,None
resource_tin_bronze_box,Tin Bronze Box,100,30,0.15,4,n,n,n,None
resource_underwear_knit_box,Underwear Knit Box,100,15,0.30,4,n,n,n,None
resource_universal_solvent_ru_5_box,Universal Solvent RU-5 Box,100,25,0.18,4,n,n,n,None
resource_vegetable_oil_box,Vegetable Oil Box,100,25,0.25,4,n,n,n,None
resource_wood_box,Ящик древесины,40,30,0.10,4,n,n,n,None

# block=marketItems
tradeItemId,locationId,basePrice,initialStock,regenPerTick,factionRestriction,allowBuy,allowSell
resource_mezium_box,PRIMIUM,120,50,0.02,None,y,y
resource_antigrav_box,PRIMIUM,120,50,0.02,None,y,y
resource_raw_antigrav_box,PRIMIUM,120,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,PRIMIUM,120,50,0.02,None,y,y
resource_sheet_antigrav_box,PRIMIUM,120,50,0.02,None,y,y
resource_rod_antigrav_box,PRIMIUM,120,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,PRIMIUM,120,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,PRIMIUM,120,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,PRIMIUM,120,50,0.02,None,y,y
resource_antigrav_chips_box,PRIMIUM,120,50,0.02,None,y,y
resource_raw_mezium_box,PRIMIUM,120,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,PRIMIUM,120,50,0.02,None,y,y
resource_mezium_oil_box,PRIMIUM,120,50,0.02,None,y,y
resource_refined_mezium_fuel_box,PRIMIUM,120,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,PRIMIUM,120,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,PRIMIUM,120,50,0.02,None,y,y
resource_primium_forged_steel_box,PRIMIUM,120,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,PRIMIUM,120,50,0.02,None,y,y
resource_gray_cast_iron_box,PRIMIUM,120,50,0.02,None,y,y
resource_copper_wire_box,PRIMIUM,120,50,0.02,None,y,y
resource_brass_sheet_box,PRIMIUM,120,50,0.02,None,y,y
resource_tin_bronze_box,PRIMIUM,120,50,0.02,None,y,y
resource_duralumin_aluminum_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_tin_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_silver_box,PRIMIUM,120,50,0.02,None,y,y
resource_canvas_tarpaulin_box,PRIMIUM,120,50,0.02,None,y,y
resource_mountain_wool_box,PRIMIUM,120,50,0.02,None,y,y
resource_multilayer_felt_box,PRIMIUM,120,50,0.02,None,y,y
resource_filter_grade_silk_box,PRIMIUM,120,50,0.02,None,y,y
resource_lightweight_canvas_box,PRIMIUM,120,50,0.02,None,y,y
resource_underwear_knit_box,PRIMIUM,120,50,0.02,None,y,y
resource_guild_cloth_box,PRIMIUM,120,50,0.02,None,y,y
resource_farm_timber_box,PRIMIUM,120,50,0.02,None,y,y
resource_teak_beam_box,PRIMIUM,120,50,0.02,None,y,y
resource_aviation_plywood_box,PRIMIUM,120,50,0.02,None,y,y
resource_oak_veneer_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_cardboard_box,PRIMIUM,120,50,0.02,None,y,y
resource_sulfuric_acid_box,PRIMIUM,120,50,0.02,None,y,y
resource_caustic_alkali_box,PRIMIUM,120,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,PRIMIUM,120,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,PRIMIUM,120,50,0.02,None,y,y
resource_gmag_grease_s_4_box,PRIMIUM,120,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,PRIMIUM,120,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,PRIMIUM,120,50,0.02,None,y,y
resource_shellac_varnish_box,PRIMIUM,120,50,0.02,None,y,y
resource_borosilicate_glass_box,PRIMIUM,120,50,0.02,None,y,y
resource_fireproof_ceramics_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_graphite_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_rubber_box,PRIMIUM,120,50,0.02,None,y,y
resource_pressed_cork_box,PRIMIUM,120,50,0.02,None,y,y
resource_beeswax_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_heels_box,PRIMIUM,120,50,0.02,None,y,y
resource_plumb_glass_writer_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_ruler_500mm_box,PRIMIUM,120,50,0.02,None,y,y
resource_engineers_square_box,PRIMIUM,120,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_pressure_gauge_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_rivets_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_tweezers_box,PRIMIUM,120,50,0.02,None,y,y
resource_cast_iron_weight_set_box,PRIMIUM,120,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,PRIMIUM,120,50,0.02,None,y,y
resource_salted_butter_box,PRIMIUM,120,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,PRIMIUM,120,50,0.02,None,y,y
resource_red_table_wine_box,PRIMIUM,120,50,0.02,None,y,y
resource_dry_white_table_wine_box,PRIMIUM,120,50,0.02,None,y,y
resource_granulated_sugar_box,PRIMIUM,120,50,0.02,None,y,y
resource_vegetable_oil_box,PRIMIUM,120,50,0.02,None,y,y
resource_imported_olive_oil_box,PRIMIUM,120,50,0.02,None,y,y
resource_portable_mag_1_box,PRIMIUM,120,50,0.02,None,y,y
resource_standard_mag_3_box,PRIMIUM,120,50,0.02,None,y,y
resource_industrial_mag_5_box,PRIMIUM,120,50,0.02,None,y,y
resource_gmag_7_box,PRIMIUM,120,50,0.02,None,y,y
resource_gmag_9_box,PRIMIUM,120,50,0.02,None,y,y
resource_mag_graphite_brushes_box,PRIMIUM,120,50,0.02,None,y,y
resource_surgical_silk_suture_box,PRIMIUM,120,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,PRIMIUM,120,50,0.02,None,y,y
resource_activated_charcoal_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_frame_rib_box,PRIMIUM,120,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_cable_6mm_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,PRIMIUM,120,50,0.02,None,y,y
resource_cast_iron_bollard_box,PRIMIUM,120,50,0.02,None,y,y
resource_round_porthole_glass_box,PRIMIUM,120,50,0.02,None,y,y
resource_mag_technical_passport_box,PRIMIUM,120,50,0.02,None,y,y
resource_cast_iron_iron_box,PRIMIUM,120,50,0.02,None,y,y
resource_cast_iron_pot_box,PRIMIUM,120,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,PRIMIUM,120,50,0.02,None,y,y
resource_steel_canister_20l_box,PRIMIUM,120,50,0.02,None,y,y
resource_glass_vial_50ml_box,PRIMIUM,120,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,PRIMIUM,120,50,0.02,None,y,y
resource_skol_5_bronze_box,PRIMIUM,120,50,0.02,None,y,y
resource_skol_10_silver_box,PRIMIUM,120,50,0.02,None,y,y
resource_skol_25_gold_silver_box,PRIMIUM,120,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,PRIMIUM,120,50,0.02,None,y,y
resource_poster_caution_mezium_box,PRIMIUM,120,50,0.02,None,y,y
resource_canvas_apron_box,PRIMIUM,120,50,0.02,None,y,y
resource_technical_paraffin_box,PRIMIUM,120,50,0.02,None,y,y
resource_soapstone_talc_box,PRIMIUM,120,50,0.02,None,y,y
resource_asbestos_sheet_box,PRIMIUM,120,50,0.02,None,y,y
resource_acoustic_felt_box,PRIMIUM,120,50,0.02,None,y,y
resource_balaclava_mask_box,PRIMIUM,120,50,0.02,None,y,y
resource_butter_pancakes_box,PRIMIUM,120,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,PRIMIUM,120,50,0.02,None,y,y
resource_colored_glass_plumb_box,PRIMIUM,120,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,PRIMIUM,120,50,0.02,None,y,y
resource_cover_tarp_box,PRIMIUM,120,50,0.02,None,y,y
antigrav_ingot_v01,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
mesium_canister_v01,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_acoustic_felt_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_activated_charcoal_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_antigrav_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_antigrav_chips_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_asbestos_sheet_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_aviation_plywood_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_balaclava_mask_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_beeswax_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_borosilicate_glass_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_brass_sheet_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_butter_pancakes_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_canvas_apron_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_canvas_tarpaulin_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cast_iron_bollard_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cast_iron_iron_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cast_iron_pot_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cast_iron_weight_set_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_caustic_alkali_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_colored_glass_plumb_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_copper_wire_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_cover_tarp_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_dry_white_table_wine_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_duralumin_aluminum_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_engineers_square_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_farm_timber_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_filter_grade_silk_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_fireproof_ceramics_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_glass_vial_50ml_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_gmag_7_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_gmag_9_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_gmag_grease_s_4_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_granulated_sugar_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_gray_cast_iron_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_guild_cloth_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_imported_olive_oil_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_industrial_mag_5_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_lightweight_canvas_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mag_graphite_brushes_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mag_technical_passport_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_oil_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_mountain_wool_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_multilayer_felt_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_oak_veneer_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_plumb_glass_writer_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_portable_mag_1_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_poster_caution_mezium_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_pressed_cork_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_primium_forged_steel_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_raw_antigrav_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_raw_mezium_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_red_table_wine_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_refined_mezium_fuel_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_rod_antigrav_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_round_porthole_glass_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_salted_butter_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_sheet_antigrav_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_shellac_varnish_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_skol_10_silver_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_skol_25_gold_silver_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_skol_5_bronze_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_soapstone_talc_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_standard_mag_3_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_cable_6mm_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_canister_20l_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_frame_rib_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_heels_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_steel_rivets_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
